Elapsed_Time_ms,Burning_Trees,Burned_Trees,Unburned_Trees,Percent_Burned,Wind_Speed,Humidity
0,2,982,1516,39.28,2.0,0.4
121,3,984,1513,39.36,2.0,0.4
222,1,987,1512,39.48,2.0,0.4
324,1,988,1511,39.52,2.0,0.4
426,2,989,1509,39.56,2.0,0.4
529,2,991,1507,39.64,2.0,0.4
631,3,993,1504,39.72,2.0,0.4
733,2,996,1502,39.84,2.0,0.4
835,1,998,1501,39.92,2.0,0.4
937,1,999,1500,39.96,2.0,0.4
1039,0,1000,1500,40.0,2.0,0.4
1141,0,1000,1500,40.0,2.0,0.4
1244,0,1000,1500,40.0,2.0,0.4
1346,0,1000,1500,40.0,2.0,0.4
1449,0,1000,1500,40.0,2.0,0.4
1551,0,1000,1500,40.0,2.0,0.4
1653,0,1000,1500,40.0,2.0,0.4
1756,0,1000,1500,40.0,2.0,0.4
1857,0,1000,1500,40.0,2.0,0.4
1960,0,1000,1500,40.0,2.0,0.4
2061,0,1000,1500,40.0,2.0,0.4
2163,0,1000,1500,40.0,2.0,0.4
2265,0,1000,1500,40.0,2.0,0.4
2367,0,1000,1500,40.0,2.0,0.4
2469,0,1000,1500,40.0,2.0,0.4
2571,0,1000,1500,40.0,2.0,0.4
2673,0,1000,1500,40.0,2.0,0.4
2775,0,1000,1500,40.0,2.0,0.4
2877,0,1000,1500,40.0,2.0,0.4
2979,0,1000,1500,40.0,2.0,0.4
3081,0,1000,1500,40.0,2.0,0.4
3183,0,1000,1500,40.0,2.0,0.4
3285,0,1000,1500,40.0,2.0,0.4
3387,0,1000,1500,40.0,2.0,0.4
3489,0,1000,1500,40.0,2.0,0.4
3590,0,1000,1500,40.0,2.0,0.4
3692,0,1000,1500,40.0,2.0,0.4
3794,0,1000,1500,40.0,2.0,0.4
3896,0,1000,1500,40.0,2.0,0.4
3998,0,1000,1500,40.0,2.0,0.4
4100,0,1000,1500,40.0,2.0,0.4
4202,0,1000,1500,40.0,2.0,0.4
4304,0,1000,1500,40.0,2.0,0.4
4406,0,1000,1500,40.0,2.0,0.4
4507,0,1000,1500,40.0,2.0,0.4
4609,0,1000,1500,40.0,2.0,0.4
4711,0,1000,1500,40.0,2.0,0.4
4813,0,1000,1500,40.0,2.0,0.4
4916,0,1000,1500,40.0,2.0,0.4
5018,0,1000,1500,40.0,2.0,0.4
